Date,Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru
16 Okt 2020,353461,12347,277544,63570,4301
17 Okt 2020,357762,12431,281592,63739,4301
18 Okt 2020,361867,12511,285324,64032,4105
19 Okt 2020,365240,12617,289243,63380,3373
20 Okt 2020,368842,12734,293653,62455,3602
21 Okt 2020,373109,12857,297509,62743,4267
22 Okt 2020,377541,12959,301006,63576,4432
23 Okt 2020,381910,13077,305100,63733,4369
24 Okt 2020,385980,13205,309219,63556,4070
25 Okt 2020,389712,13299,313764,62649,3732
26 Okt 2020,392934,13411,317672,61851,3222
27 Okt 2020,396454,13512,322248,60694,3520
28 Okt 2020,400483,13612,325793,61078,4029
29 Okt 2020,404048,13701,329778,60569,3565
30 Okt 2020,406945,13782,334295,58868,2897
31 Okt 2020,410088,13869,337801,58418,3143
1 Nov 2020,412784,13943,341942,56899,2696
2 Nov 2020,415402,14044,345566,55792,2618
3 Nov 2020,418375,14146,349497,54732,2973
4 Nov 2020,421731,14259,353282,54190,3356
5 Nov 2020,425796,14348,357142,54306,4065
6 Nov 2020,429574,14442,360705,54427,3778
7 Nov 2020,433836,14540,364417,54879,4262
8 Nov 2020,437716,14614,368298,54804,3880
9 Nov 2020,440569,14689,372266,53614,2853
10 Nov 2020,444348,14761,375741,53846,3779
11 Nov 2020,448118,14836,378982,54300,3770
12 Nov 2020,452291,14933,382084,55274,4173
13 Nov 2020,457735,15037,385094,57604,5444
14 Nov 2020,463007,15148,388094,59765,5272
15 Nov 2020,467113,15211,391991,59911,4106
16 Nov 2020,470648,15296,395443,59909,3535
17 Nov 2020,474455,15393,398636,60426,3807
18 Nov 2020,478720,15503,402347,60870,4265
19 Nov 2020,483518,15600,406612,61306,4798
20 Nov 2020,488310,15678,410552,62080,4792
21 Nov 2020,493308,15774,413955,63579,4998
22 Nov 2020,497668,15884,418188,63596,4360
23 Nov 2020,502110,16002,422386,63722,4442
24 Nov 2020,506302,16111,425313,64878,4192
25 Nov 2020,511836,16225,429807,65804,5534
26 Nov 2020,516753,16352,433649,66752,4917
27 Nov 2020,522581,16521,437456,68604,5828
28 Nov 2020,527999,16646,441983,69370,5418
29 Nov 2020,534266,16815,445793,71658,6267
30 Nov 2020,538883,16945,450518,71420,4617
1 Des 2020,543975,17081,454879,72015,5092
2 Des 2020,549508,17199,458880,73429,5533
3 Des 2020,557877,17355,462553,77969,8369
4 Des 2020,563680,17479,466178,80023,5803
5 Des 2020,569707,17589,470449,81669,6027
6 Des 2020,575796,17740,474771,83285,6089
7 Des 2020,581550,17867,479202,84481,5754
8 Des 2020,586842,18000,483497,85345,5292
9 Des 2020,592900,18171,487445,87284,6058
10 Des 2020,598933,18336,491975,88622,6033
11 Des 2020,605243,18511,496886,89846,6310
