Nama Kecamatan,Total Terkonfirmasi,Total Dalam Perawatan,Total Sembuh,Total Meninggal
SALOPA,41,0,41,0
JATIWARAS,12,0,11,1
CINEAM,5,1,4,0
KARANG JAYA,13,0,13,0
MANONJAYA,57,2,54,1
GUNUNG TANJUNG,1,0,1,0
SINGAPARNA,202,3,192,7
SUKARAME,50,9,40,1
MANGUNREJA,101,0,97,4
CIGALONTANG,32,2,29,1
LEUWISARI,64,6,55,3
SARIWANGI,146,19,124,3
PADAKEMBANG,58,19,38,1
SUKARATU,14,1,12,1
CISAYONG,37,2,34,1
SUKAHENING,29,0,28,1
RAJAPOLAH,18,0,14,4
JAMANIS,10,0,10,0
CIAWI,17,0,15,2
KADIPATEN,25,1,24,0
PAGERAGEUNG,49,6,42,1
SUKARESIK,18,0,18,0
BANJARSARI,135,13,120,2
BANJARANYAR,31,0,28,3
LAKBOK,45,3,41,1
PURWADADI,5,0,5,0
PAMARICAN,53,1,50,2
CIDOLOG,17,0,16,1
CIMARAGAS,21,1,20,0
CIJEUNGJING,219,13,202,4
CISAGA,82,11,71,0
TAMBAKSARI,17,1,15,1
RANCAH,64,3,58,3
RAJADESA,89,1,86,2
SUKADANA,28,0,27,1
CIAMIS,451,31,410,10
BAREGBEG,77,4,73,0
CIKONENG,68,3,64,1
SINDANGKASIH,106,1,98,7
CIHAURBEUTI,131,1,128,2
SADANANYA,53,1,50,2
CIPAKU,46,5,40,1
JATINAGARA,40,6,34,0
PANAWANGAN,82,9,73,0
KAWALI,112,4,105,3
LUMBUNG,42,0,42,0
PANJALU,45,2,41,2
SUKAMANTRI,23,2,20,1
PANUMBANGAN,111,5,101,5
DARMA,87,13,74,0
KADUGEDE,112,16,96,0
NUSAHERANG,47,6,41,0
CINIRU,22,7,15,0
HANTARA,15,8,7,0
SELAJAMBE,26,11,15,0
SUBANG,8,1,7,0
CILEBAK,7,2,4,1
CIWARU,45,6,38,1
KARANG KANCANA,32,0,32,0
CIBINGBIN,31,11,20,0
CIBEUREUM,10,6,2,2
LURAGUNG,152,18,132,2
CIMAHI,36,6,30,0
CIDAHU,74,13,61,0
KALIMANGGIS,39,8,31,0
CIAWIGEBANG,137,32,104,1
CIPICUNG,44,17,27,0
LEBAKWANGI,89,28,61,0
MALEBER,77,19,58,0
GARAWANGI,90,19,71,0
SINDANG AGUNG,40,0,40,0
KUNINGAN,586,74,508,4
CIGUGUR,153,26,127,0
KRAMATMULYA,186,25,161,0
JALAKSANA,599,17,582,0
JAPARA,16,3,13,0
CILIMUS,310,38,271,1
CIGANDAMEKAR,98,11,83,4
MANDIRANCAN,148,36,112,0
PANCALANG,140,9,131,0
PASAWAHAN,52,12,40,0
WALED,86,15,68,3
PASALEMAN,21,1,20,0
CILEDUG,99,5,90,4
PABUARAN,50,11,38,1
LOSARI,59,1,54,4
PABEDILAN,57,7,49,1
BABAKAN,105,6,95,4
GEBANG,111,8,96,7
KARANGSEMBUNG,86,26,58,2
KARANGWARENG,43,6,34,3
LEMAHABANG,65,2,62,1
SUSUKAN LEBAK,61,11,47,3
SEDONG,60,5,54,1
ASTANAJAPURA,216,10,200,6
PANGENAN,47,6,39,2
MUNDU,228,21,200,7
BEBER,104,7,95,2
GREGED,67,3,63,1
TALUN,358,30,320,8
SUMBER,350,46,300,4
DUKUPUNTANG,82,1,78,3
PALIMANAN,156,13,139,4
PLUMBON,291,31,251,9
DEPOK,125,23,99,3
WERU,178,15,154,9
PLERED,190,12,177,1
TENGAH TANI,140,13,120,7
KEDAWUNG,514,57,444,13
GUNUNG JATI,325,39,276,10
KAPETAKAN,73,9,58,6
SURANENGGALA,144,8,133,3
KLANGENAN,136,18,114,4
JAMBLANG,99,4,93,2
ARJAWINANGUN,174,24,145,5
PANGURAGAN,85,16,64,5
CIWARINGIN,84,1,81,2
GEMPOL,220,6,211,3
SUSUKAN,109,16,88,5
GEGESIK,106,8,92,6
KALIWEDI,30,2,26,2
LEMAHSUGIH,55,4,51,0
BANTARUJEG,24,4,19,1
MALAUSMA,16,3,13,0
CIKIJING,72,28,43,1
CINGAMBUL,34,10,24,0
TALAGA,41,3,38,0
BANJARAN,16,7,9,0
ARGAPURA,89,10,78,1
MAJA,59,8,50,1
MAJALENGKA,213,18,192,3
CIGASONG,75,11,63,1
SUKAHAJI,90,6,84,0
SINDANG,45,2,42,1
RAJAGALUH,123,8,109,6
SINDANGWANGI,44,4,39,1
LEUWIMUNDING,109,3,94,12
PALASAH,79,4,75,0
JATIWANGI,83,8,75,0
DAWUAN,51,13,38,0
KASOKANDEL,65,12,51,2
PANYINGKIRAN,67,1,65,1
KADIPATEN,113,19,91,3
KERTAJATI,32,1,31,0
JATITUJUH,43,6,37,0
LIGUNG,59,13,43,3
SUMBERJAYA,94,11,81,2
JATINANGOR,112,3,107,2
CIMANGGUNG,106,15,89,2
TANJUNGSARI,187,4,176,7
SUKASARI,34,0,31,3
PAMULIHAN,79,3,72,4
RANCAKALONG,52,2,49,1
SUMEDANG SELATAN,173,19,154,0
SUMEDANG UTARA,227,18,207,2
GANEAS,44,1,43,0
SITURAJA,67,6,61,0
CISITU,25,5,19,1
DARMARAJA,36,7,26,3
CIBUGEL,54,0,53,1
WADO,49,3,44,2
JATINUNGGAL,23,1,20,2
JATIGEDE,13,0,13,0
TOMO,56,0,55,1
UJUNGJAYA,34,2,32,0
CONGGEANG,49,0,48,1
PASEH,44,7,34,3
CIMALAKA,145,17,128,0
CISARUA,33,1,32,0
TANJUNGKERTA,78,18,60,0
TANJUNGMEDAR,20,2,18,0
BUAHDUA,33,2,31,0
SURIAN,10,4,5,1
HAURGEULIS,118,24,91,3
GANTAR,38,6,31,1
KROYA,42,4,37,1
GABUSWETAN,33,5,27,1
